employee_id,entity,start_date,end_date
E0001,North,2023-04-08,
E0002,North,2023-02-19,2024-10-19
E0003,North,2022-02-14,2024-04-17
E0004,North,2022-01-02,
E0005,North,2022-04-17,2024-01-27
E0006,North,2022-05-24,
E0007,North,2021-09-30,
E0008,North,2021-06-27,
E0009,North,2022-05-30,
E0010,North,2023-02-24,2024-03-10
E0011,North,2023-12-24,
E0012,North,2021-07-03,
E0013,North,2023-09-30,
E0014,North,2022-02-13,
E0015,North,2023-05-14,
E0016,North,2022-03-20,
E0017,North,2023-02-05,
E0018,North,2023-03-06,
E0019,North,2022-03-12,
E0020,North,2021-11-08,
E0021,North,2023-08-04,
E0022,North,2022-01-02,
E0023,North,2022-11-25,
E0024,North,2021-06-19,
E0025,North,2023-12-19,
E0026,North,2021-06-29,
E0027,North,2023-08-19,2024-03-28
E0028,North,2022-10-10,
E0029,North,2023-04-05,
E0030,North,2021-03-29,2024-11-13
E0031,North,2022-07-06,
E0032,North,2021-01-16,2024-04-04
E0033,North,2023-05-21,
E0034,North,2022-02-22,
E0035,North,2023-01-13,2024-02-22
E0036,North,2023-12-31,
E0037,North,2021-06-15,2024-10-03
E0038,North,2023-08-05,
E0039,North,2023-11-29,
E0040,North,2022-02-10,
E0041,South,2023-08-06,2024-03-31
E0042,South,2021-04-16,
E0043,South,2023-01-03,2024-10-28
E0044,South,2021-09-22,
E0045,South,2022-03-19,
E0046,South,2021-11-26,
E0047,South,2023-06-24,
E0048,South,2021-12-30,
E0049,South,2023-10-28,
E0050,South,2021-12-27,2024-05-24
E0051,South,2021-03-17,2024-03-21
E0052,South,2021-08-13,
E0053,South,2021-02-17,
E0054,South,2021-12-17,2024-07-06
E0055,South,2023-08-29,2024-05-03
E0056,South,2023-05-09,
E0057,South,2021-06-16,
E0058,South,2023-05-22,2024-05-28
E0059,South,2021-06-26,
E0060,South,2021-10-20,
E0061,South,2022-09-27,
E0062,South,2021-01-12,
E0063,South,2023-02-20,2024-04-16
E0064,South,2022-11-07,
E0065,South,2021-10-06,
E0066,South,2023-12-08,
E0067,South,2023-04-11,
E0068,South,2022-02-16,
E0069,South,2021-04-24,
E0070,South,2022-03-10,
E0071,West,2023-06-27,2024-01-10
E0072,West,2022-06-12,
E0073,West,2023-04-08,
E0074,West,2021-09-16,2024-07-18
E0075,West,2022-12-26,
E0076,West,2023-09-03,2024-11-12
E0077,West,2021-04-25,2024-11-30
E0078,West,2021-09-26,
E0079,West,2021-11-05,
E0080,West,2023-04-17,
E0081,West,2021-09-12,
E0082,West,2021-07-17,
E0083,West,2021-09-01,
E0084,West,2021-10-22,2024-04-19
E0085,West,2022-08-30,
E0086,West,2021-12-23,
E0087,West,2021-12-30,2024-02-13
E0088,West,2023-04-20,
E0089,West,2021-10-26,
E0090,West,2022-03-02,2024-08-15
E0091,West,2022-10-16,
E0092,West,2023-10-20,2024-04-04
E0093,West,2022-04-25,
E0094,West,2022-06-12,
E0095,West,2021-08-29,
E0096,South,2024-04-14,
