scenario,account_id,date,amount,entity,description,source
Actual,4000,2024-01-04,-4358.94,North,Product Revenue,sample_gl
Actual,4000,2024-01-05,-535.71,North,Product Revenue,sample_gl
Actual,4000,2024-01-08,-9386.38,North,Product Revenue,sample_gl
Actual,4000,2024-01-08,-21633.58,North,Product Revenue,sample_gl
Actual,4000,2024-01-09,-33392.45,North,Product Revenue,sample_gl
Actual,4000,2024-01-22,-13705.21,North,Product Revenue,sample_gl
Actual,4000,2024-01-24,-63541.75,North,Product Revenue,sample_gl
Actual,4000,2024-01-24,-17711.14,North,Product Revenue,sample_gl
Actual,4000,2024-01-07,-1064.4,South,Product Revenue,sample_gl
Actual,4000,2024-01-08,-24400.8,South,Product Revenue,sample_gl
Actual,4000,2024-01-14,-30262.71,South,Product Revenue,sample_gl
Actual,4000,2024-01-15,-40784.93,South,Product Revenue,sample_gl
Actual,4000,2024-01-18,-17831.87,South,Product Revenue,sample_gl
Actual,4000,2024-01-21,-17636.34,South,Product Revenue,sample_gl
Actual,4000,2024-01-23,-591.46,South,Product Revenue,sample_gl
Actual,4000,2024-01-23,-31212.42,South,Product Revenue,sample_gl
Actual,4000,2024-01-03,-68599.29,West,Product Revenue,sample_gl
Actual,4000,2024-01-04,-28577.79,West,Product Revenue,sample_gl
Actual,4000,2024-01-09,-2865.6,West,Product Revenue,sample_gl
Actual,4000,2024-01-12,-32201.8,West,Product Revenue,sample_gl
Actual,4000,2024-01-12,-14026.05,West,Product Revenue,sample_gl
Actual,4000,2024-01-13,-4037.0,West,Product Revenue,sample_gl
Actual,4000,2024-01-20,-26043.82,West,Product Revenue,sample_gl
Actual,4000,2024-01-28,-4872.05,West,Product Revenue,sample_gl
Actual,4010,2024-01-03,-2217.71,North,Service Revenue,sample_gl
Actual,4010,2024-01-07,-1643.89,North,Service Revenue,sample_gl
Actual,4010,2024-01-12,-1026.45,North,Service Revenue,sample_gl
Actual,4010,2024-01-19,-6141.27,North,Service Revenue,sample_gl
Actual,4010,2024-01-20,-236.78,North,Service Revenue,sample_gl
Actual,4010,2024-01-23,-2186.65,North,Service Revenue,sample_gl
Actual,4010,2024-01-28,-552.41,North,Service Revenue,sample_gl
Actual,4010,2024-01-29,-34390.64,North,Service Revenue,sample_gl
Actual,4010,2024-01-07,-7487.12,South,Service Revenue,sample_gl
Actual,4010,2024-01-09,-354.47,South,Service Revenue,sample_gl
Actual,4010,2024-01-12,-9545.1,South,Service Revenue,sample_gl
Actual,4010,2024-01-12,-10523.76,South,Service Revenue,sample_gl
Actual,4010,2024-01-22,-1782.6,South,Service Revenue,sample_gl
Actual,4010,2024-01-22,-3715.62,South,Service Revenue,sample_gl
Actual,4010,2024-01-23,-11931.4,South,Service Revenue,sample_gl
Actual,4010,2024-01-30,-480.04,South,Service Revenue,sample_gl
Actual,4010,2024-01-08,-1451.49,West,Service Revenue,sample_gl
Actual,4010,2024-01-11,-8088.63,West,Service Revenue,sample_gl
Actual,4010,2024-01-18,-816.86,West,Service Revenue,sample_gl
Actual,4010,2024-01-21,-1749.59,West,Service Revenue,sample_gl
Actual,4010,2024-01-22,-2157.43,West,Service Revenue,sample_gl
Actual,4010,2024-01-23,-20824.79,West,Service Revenue,sample_gl
Actual,4010,2024-01-25,-7547.25,West,Service Revenue,sample_gl
Actual,4010,2024-01-27,-2581.48,West,Service Revenue,sample_gl
Actual,5000,2024-01-05,17716.01,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-13,1157.53,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-15,153.62,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-16,9663.01,North,Cost of Goods Sold,sample_gl
